epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,903.218,0.72827,0.74128,1.06863,0.86152,0.82038,0.85178,0.65036,1.16559,1.027,1.42919,0.002179,0.002179,0.002179
81,913.341,0.71701,0.73011,1.05954,0.87027,0.81093,0.85474,0.67961,1.14703,1.01511,1.32983,0.00208,0.00208,0.00208
82,923.532,0.71909,0.72858,1.07705,0.89005,0.8022,0.87512,0.67753,1.10958,0.93556,1.47014,0.001981,0.001981,0.001981
83,933.679,0.73594,0.75325,1.08507,0.80462,0.84615,0.83699,0.6531,1.06814,1.0053,1.31642,0.001882,0.001882,0.001882
84,943.779,0.69882,0.71881,1.05613,0.84331,0.82418,0.84805,0.6641,1.16574,1.06096,1.46874,0.001783,0.001783,0.001783
85,953.955,0.71971,0.73132,1.07491,0.85976,0.82418,0.85857,0.67383,0.96464,0.99966,1.35184,0.001684,0.001684,0.001684
86,964.06,0.69716,0.7055,1.0556,0.83185,0.84615,0.85782,0.688,0.98623,0.99656,1.28129,0.001585,0.001585,0.001585
87,974.209,0.68703,0.69454,1.05925,0.86592,0.83516,0.87001,0.69515,1.03755,0.94107,1.27238,0.001486,0.001486,0.001486
88,984.4,0.68269,0.69402,1.04751,0.83342,0.82967,0.86146,0.68405,1.00033,0.95259,1.26003,0.001387,0.001387,0.001387
89,994.456,0.68832,0.7129,1.04255,0.86483,0.80855,0.86268,0.68258,0.97096,0.95076,1.25184,0.001288,0.001288,0.001288
90,1004.64,0.663,0.67738,1.04037,0.84467,0.80769,0.8557,0.68306,1.02368,0.94905,1.34227,0.001189,0.001189,0.001189
91,1029.06,0.65197,0.68093,1.06208,0.8047,0.82967,0.84852,0.67337,0.97718,1.04053,1.2119,0.00109,0.00109,0.00109
92,1040.31,0.65418,0.63365,1.07327,0.82443,0.85142,0.86093,0.68091,0.99534,0.98115,1.33459,0.000991,0.000991,0.000991
93,1051.13,0.61068,0.61183,1.0462,0.80695,0.87363,0.86624,0.70265,0.94735,1.02979,1.29674,0.000892,0.000892,0.000892
94,1062,0.60608,0.60262,1.04572,0.85529,0.84435,0.86995,0.7022,0.98682,1.05489,1.24298,0.000793,0.000793,0.000793
95,1073.94,0.59027,0.57367,1.02697,0.82583,0.84615,0.86176,0.69982,1.04481,0.99203,1.30534,0.000694,0.000694,0.000694
96,1084.43,0.57802,0.56449,1.02752,0.82509,0.85533,0.86994,0.69576,1.00998,0.87339,1.37257,0.000595,0.000595,0.000595
97,1094.87,0.57234,0.55573,1.01092,0.82313,0.86939,0.86455,0.69441,1.08142,0.89395,1.37842,0.000496,0.000496,0.000496
98,1106.05,0.57408,0.56347,1.02587,0.81242,0.85165,0.86829,0.70424,1.05704,0.93338,1.37825,0.000397,0.000397,0.000397
99,1117.48,0.55259,0.53858,1.00443,0.82584,0.85977,0.86922,0.70982,0.99421,0.91715,1.39241,0.000298,0.000298,0.000298
100,1127.48,0.55367,0.54646,1.01254,0.84567,0.85714,0.86693,0.70457,1.00355,0.91661,1.43068,0.000199,0.000199,0.000199
